molecule_chembl_id,canonical_smiles,standard_type,standard_value,standard_units,standard_relation,pchembl_value,assay_chembl_id,assay_description,data_validity_comment,document_year,document_chembl_id,target_chembl_id,potential_duplicate,dataset,molecule_pref_name,pchembl,std_smiles
CHEMBL3342663,Nc1ncnc2c1c(-c1ccc(C(F)(F)F)cc1)cn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,IC50,1160.0,nM,=,5.94,CHEMBL3385546,Antimycobacterial activity against Mycobacterium bovis BCG assessed as microbial growth inhibition incubated for 21 days,,2014,CHEMBL3352218,CHEMBL360,0,Mtb_whole_cell,,5.94,Nc1ncnc2c1c(-c1ccc(C(F)(F)F)cc1)cn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O
CHEMBL3342665,Nc1ncnc2c1c(-c1ccc3c(c1)OCO3)cn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,IC50,1380.0,nM,=,5.86,CHEMBL3385546,Antimycobacterial activity against Mycobacterium bovis BCG assessed as microbial growth inhibition incubated for 21 days,,2014,CHEMBL3352218,CHEMBL360,0,Mtb_whole_cell,,5.86,Nc1ncnc2c1c(-c1ccc3c(c1)OCO3)cn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O
CHEMBL3342667,Nc1ncnc2c1c(-c1ccc3c4c(cccc14)CC3)cn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,IC50,1740.0,nM,=,5.76,CHEMBL3385546,Antimycobacterial activity against Mycobacterium bovis BCG assessed as microbial growth inhibition incubated for 21 days,,2014,CHEMBL3352218,CHEMBL360,0,Mtb_whole_cell,,5.76,Nc1ncnc2c1c(-c1ccc3c4c(cccc14)CC3)cn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O
CHEMBL3342668,Nc1ncnc2c1c(-c1cc3ccccc3c3ccccc13)cn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,IC50,1900.0,nM,=,5.72,CHEMBL3385546,Antimycobacterial activity against Mycobacterium bovis BCG assessed as microbial growth inhibition incubated for 21 days,,2014,CHEMBL3352218,CHEMBL360,0,Mtb_whole_cell,,5.72,Nc1ncnc2c1c(-c1cc3ccccc3c3ccccc13)cn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O
CHEMBL3342672,Nc1ncnc2c1c(/C=C/c1ccccc1)cn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,IC50,1300.0,nM,=,5.89,CHEMBL3385546,Antimycobacterial activity against Mycobacterium bovis BCG assessed as microbial growth inhibition incubated for 21 days,,2014,CHEMBL3352218,CHEMBL360,0,Mtb_whole_cell,,5.89,Nc1ncnc2c1c(/C=C/c1ccccc1)cn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O
CHEMBL3342673,Nc1ncnc2c1c(-c1ccc(-c3ccccc3)cc1)cn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,IC50,1680.0,nM,=,5.78,CHEMBL3385546,Antimycobacterial activity against Mycobacterium bovis BCG assessed as microbial growth inhibition incubated for 21 days,,2014,CHEMBL3352218,CHEMBL360,0,Mtb_whole_cell,,5.78,Nc1ncnc2c1c(-c1ccc(-c3ccccc3)cc1)cn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O
CHEMBL3400648,CNC(=O)CCc1cc(-c2ccc(-c3ccc(C(F)(F)F)cc3)cc2)n(-c2ccc(NS(=O)(=O)N(C)C)cc2)n1,IC50,2200.0,nM,=,5.66,CHEMBL3406705,Antimycobacterial activity against Mycobacterium tuberculosis H37Rv expressing Lux assessed as reduction in growth measured after 3 weeks by bioluminescence assay,,2015,CHEMBL3399952,CHEMBL360,0,Mtb_whole_cell,,5.66,CNC(=O)CCc1cc(-c2ccc(-c3ccc(C(F)(F)F)cc3)cc2)n(-c2ccc(NS(=O)(=O)N(C)C)cc2)n1
CHEMBL3409423,NNC(=O)c1cc(CC2CC3CCC2C3)c2ccccc2n1,IC50,1949.84,nM,=,5.71,CHEMBL3412552,Anti-tuberculosis activity against Mycobacterium tuberculosis H37Rv assessed as inhibition of microbial growth by MABA method,,2015,CHEMBL3407381,CHEMBL360,0,Mtb_whole_cell,,5.71,NNC(=O)c1cc(CC2CC3CCC2C3)c2ccccc2n1
CHEMBL3409430,CO[C@H]1CC[C@@H](c2cc(C(=O)NN)nc3ccccc32)CC1,IC50,2344.23,nM,=,5.63,CHEMBL3412552,Anti-tuberculosis activity against Mycobacterium tuberculosis H37Rv assessed as inhibition of microbial growth by MABA method,,2015,CHEMBL3407381,CHEMBL360,0,Mtb_whole_cell,,5.63,CO[C@H]1CC[C@@H](c2cc(C(=O)NN)nc3ccccc32)CC1
CHEMBL3407520,CCCCC(O)c1cc(C23CC4CC(CC(C4)C2)C3)c2ccccc2n1,IC50,2187.76,nM,=,5.66,CHEMBL3412552,Anti-tuberculosis activity against Mycobacterium tuberculosis H37Rv assessed as inhibition of microbial growth by MABA method,,2015,CHEMBL3407381,CHEMBL360,0,Mtb_whole_cell,,5.66,CCCCC(O)c1cc(C23CC4CC(CC(C4)C2)C3)c2ccccc2n1
CHEMBL3409441,O=C(NC1CCN(Cc2ccccc2)CC1)c1cc(C23CC4CC(CC(C4)C2)C3)c2ccccc2c1,IC50,1513.56,nM,=,5.82,CHEMBL3412552,Anti-tuberculosis activity against Mycobacterium tuberculosis H37Rv assessed as inhibition of microbial growth by MABA method,,2015,CHEMBL3407381,CHEMBL360,0,Mtb_whole_cell,,5.82,O=C(NC1CCN(Cc2ccccc2)CC1)c1cc(C23CC4CC(CC(C4)C2)C3)c2ccccc2c1
