dataset,molecule_chembl_id,std_smiles,pchembl,pchembl_sd,n_meas,endpoints,n_assay,year_min,year_max,pref_name
InhA_enzyme,CHEMBL426702,CN(Cc1c2ccccc2cc2ccccc12)C(=O)C1CC(=O)N(C2CC3CCC2C3)C1,6.07,,1,IC50,1,2006,2006,
InhA_enzyme,CHEMBL217594,CN(Cc1c2ccccc2cc2ccccc12)C(=O)C1CC(=O)N(C2CCCCC2)C1,6.12,,1,IC50,1,2006,2006,
InhA_enzyme,CHEMBL386329,CN(Cc1c2ccccc2cc2ccccc12)C(=O)C1CC(=O)N(C2CCCCCC2)C1,6.5,,1,IC50,1,2006,2006,
InhA_enzyme,CHEMBL414086,CN(Cc1c2ccccc2cc2ccccc12)C(=O)C1CC(=O)N(C2CCCCCCC2)C1,6.21,,1,IC50,1,2006,2006,
InhA_enzyme,CHEMBL4163218,CNC(=O)CN(C(=O)Cc1ccc(-n2cccn2)cc1)C1CCN(c2ccccn2)CC1,6.33,1.5556349186104041,2,IC50|Kd,2,2018,2018,
InhA_enzyme,CHEMBL4176028,CNC(=O)CN(Cc1ccc(F)cc1)C(=O)[C@H]1CC[C@@H](NC(=O)Cc2sc3ccccc3c2C)CC1,6.22,1.385532388650659,3,IC50|Kd,3,2018,2018,
InhA_enzyme,CHEMBL4167661,CNC(=O)CN1CCN(C(=O)[C@H]2CC[C@@H](NC(=O)Cc3sc4ccccc4c3C)CC2)[C@@H](Cc2ccccc2)C1=O,6.47,1.1874903508379904,3,IC50|Kd,3,2018,2018,
InhA_enzyme,CHEMBL4167466,CNC(=O)[C@@H]1C[C@H](NC(=O)[C@@H](NC(=O)c2ccc(Cn3cccn3)cc2)[C@@H](C)OC(C)(C)C)CN1C(=O)c1ccccc1,4.92,1.5572518528912829,3,IC50|Kd,3,2018,2018,
InhA_enzyme,CHEMBL4163172,CNC(=O)c1cnc(NC2CCN(c3ccccn3)CC2)c(NCc2ccc(F)c(Oc3ccccc3)c2)c1,6.5649999999999995,0.049497474683058214,2,IC50|Kd,2,2018,2018,
InhA_enzyme,CHEMBL3125265,COC(=O)CNC(=O)[C@@H]1C[C@@H](NC(=O)c2cc(C3CC3)nn2C)CN1C(=O)c1coc2ccccc12,7.82,,1,IC50,1,2014,2014,
InhA_enzyme,CHEMBL565062,COC(=O)c1c(NC(=O)c2ccccc2[N+](=O)[O-])sc2c1CCC2,5.74,,1,IC50,1,2009,2009,
InhA_enzyme,CHEMBL217864,COC(=O)c1ccccc1NC(=O)C1CC(=O)N(C2CCCCC2)C1,4.46,,1,IC50,1,2006,2006,
InhA_enzyme,CHEMBL3088171,COC(=O)c1cnc2ccc(C#N)cc2c1NCCCc1ccccc1,7.7,,1,IC50,1,2013,2013,
InhA_enzyme,CHEMBL374478,CO[C@H]1/C=C/O[C@@]2(C)Oc3c(C)c(O)c4c(O)c(c(/C=N/N5CCN(C)CC5)c(O)c4c3C2=O)NC(=O)/C(C)=C\C=C\[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C,7.52,,1,IC50,1,2014,2014,RIFAMPIN
InhA_enzyme,CHEMBL4552935,COc1cc(/C=C2/SC(=S)N(CC(=O)c3ccccc3)C2=O)cc(OC)c1OC,5.51,,1,IC50,1,2019,2019,
InhA_enzyme,CHEMBL560683,COc1cc(Cl)cc(/C=C2/SC(c3ccccc3)=NC2=O)c1O,4.98,,1,IC50,1,2009,2009,
InhA_enzyme,CHEMBL540475,COc1cc(Cl)ccc1NC(=O)c1ccc(C)c([N+](=O)[O-])c1,5.3,,1,IC50,1,2009,2009,
InhA_enzyme,CHEMBL216704,COc1cc(NC(=O)C2CC(=O)N(C3CCCCC3)C2)cc(C(F)(F)F)c1,5.89,,1,IC50,1,2006,2006,
InhA_enzyme,CHEMBL558660,COc1cc(NC(=O)c2ccc(C)cc2[N+](=O)[O-])cc(OC)c1,5.87,,1,IC50,1,2009,2009,
InhA_enzyme,CHEMBL5414534,COc1ccc(-c2nn(-c3ccc([N+](=O)[O-])cc3[N+](=O)[O-])c(N)c2C#N)cc1Oc1cccc(Br)c1C#N,6.54,,1,IC50,1,2023,2023,
InhA_enzyme,CHEMBL4552155,COc1ccc(/C=C2/SC(=S)N(CC(=O)c3ccccc3)C2=O)cc1,5.08,,1,IC50,1,2019,2019,
InhA_enzyme,CHEMBL557836,COc1ccc(/C=C2/SC(N3CCC(C)CC3)=NC2=O)cc1OC,4.97,,1,IC50,1,2009,2009,
InhA_enzyme,CHEMBL571677,COc1ccc(/C=C2/SC(N3CCCC3)=NC2=O)cc1OC,5.14,,1,IC50,1,2009,2009,
InhA_enzyme,CHEMBL561485,COc1ccc(/C=C2/SC(N3CCCCC3)=NC2=O)cc1OC,4.94,,1,IC50,1,2009,2009,
InhA_enzyme,CHEMBL539723,COc1ccc(/C=C2\SC(N3CCCCCC3)NC2=O)cc1OC,4.96,,1,IC50,1,2009,2009,
InhA_enzyme,CHEMBL4579264,COc1ccc(C(=O)CN2C(=O)/C(=C\c3cc(OC)c(OC)c(OC)c3)SC2=S)cc1,5.59,,1,IC50,1,2019,2019,
InhA_enzyme,CHEMBL4555877,COc1ccc(C(=O)CN2C(=O)/C(=C\c3ccc(Br)cc3)SC2=S)cc1,4.92,,1,IC50,1,2019,2019,
InhA_enzyme,CHEMBL4586001,COc1ccc(C(=O)CN2C(=O)/C(=C\c3ccc(C)cc3)SC2=S)cc1,5.3,,1,IC50,1,2019,2019,
